athlete_id,event_timestamp,total_lift,age,weight,height,gender,region,bmi,age_squared,weight_height_ratio
84,2024-01-01 04:56:40+00:00,1190.0,25.0,160.0,68.0,Male,Northern California,24.325259515570934,625.0,2.3529411764705883
86,2024-01-01 00:45:00+00:00,1225.0,32.0,225.0,77.0,Male,Northern California,26.678191937932198,1024.0,2.9220779220779223
88,2024-01-01 03:58:20+00:00,1543.0,30.0,200.0,72.0,Male,Northern California,27.121913580246915,900.0,2.7777777777777777
93,2024-01-01 02:46:40+00:00,1080.0,32.0,200.0,72.0,Male,Northern California,27.121913580246915,1024.0,2.7777777777777777
96,2024-01-03 05:05:57+00:00,523.0,30.0,125.0,69.0,Female,Northern California,18.457256878806973,900.0,1.8115942028985508
1617,2024-01-01 22:01:27+00:00,1240.0,47.0,187.0,70.0,Male,South East,26.828775510204082,2209.0,2.6714285714285713
1618,2024-01-01 01:25:00+00:00,1120.0,31.0,174.0,68.0,Male,South Central,26.45371972318339,961.0,2.5588235294117645
1620,2024-01-02 05:27:17+00:00,1395.0,26.0,240.0,72.0,Male,Latin America,32.5462962962963,676.0,3.3333333333333335
1621,2024-01-01 02:06:40+00:00,1065.0,36.0,175.0,72.0,Male,,23.73167438271605,1296.0,2.4305555555555554
1623,2024-01-01 04:30:00+00:00,1075.0,31.0,170.0,70.0,Male,Southern California,24.389795918367348,961.0,2.4285714285714284
1624,2024-01-01 03:43:20+00:00,1025.0,35.0,191.0,74.0,Male,Australia,24.52027027027027,1225.0,2.581081081081081
1626,2024-01-03 07:33:30+00:00,730.0,26.0,143.0,60.0,Female,Southern California,27.924722222222222,676.0,2.3833333333333333
1628,2024-01-05 08:58:36+00:00,1300.0,30.0,210.0,73.0,Male,,27.70313379620942,900.0,2.8767123287671232
1630,2024-01-01 01:33:20+00:00,1320.0,32.0,250.0,72.0,Male,,33.90239197530864,1024.0,3.4722222222222223
1632,2024-01-02 11:29:11+00:00,1205.0,31.0,215.0,71.0,Male,North East,29.983138266217022,961.0,3.028169014084507
1633,2024-01-01 10:52:54+00:00,1138.0,40.0,150.0,64.0,Male,Mid Atlantic,25.74462890625,1600.0,2.34375
1636,2024-01-01 01:01:40+00:00,1340.0,34.0,198.0,70.0,Male,North Central,28.406938775510206,1156.0,2.8285714285714287
1637,2024-01-03 00:57:22+00:00,1048.0,27.0,,69.0,Female,Mid Atlantic,,729.0,
1640,2024-01-01 01:43:20+00:00,1375.0,35.0,185.0,70.0,Male,,26.541836734693877,1225.0,2.642857142857143
1643,2024-01-01 09:22:46+00:00,1305.0,32.0,204.0,73.0,Male,Central East,26.911615687746295,1024.0,2.7945205479452055
1644,2024-01-01 04:15:00+00:00,1185.0,22.0,185.0,70.0,Male,Central East,26.541836734693877,484.0,2.642857142857143
1645,2024-01-01 05:01:40+00:00,1172.0,32.0,229.0,69.0,Male,South Central,33.813694601974376,1024.0,3.318840579710145
1647,2024-01-01 06:45:00+00:00,1420.0,25.0,175.0,67.0,Male,South West,27.40588104254845,625.0,2.611940298507463
1650,2024-01-02 10:56:09+00:00,1175.0,51.0,185.0,70.0,Male,South East,26.541836734693877,2601.0,2.642857142857143
1651,2024-01-01 08:39:03+00:00,1120.0,37.0,165.0,66.0,Male,Mid Atlantic,26.62878787878788,1369.0,2.5
