feature,importance
categorical__gender_Male,0.2894236246397418
categorical__gender_Female,0.25402221496792443
numerical__weight,0.16299124071378843
numerical__weight_height_ratio,0.11944126723277136
numerical__bmi,0.0676847529358776
numerical__height,0.04795368002723068
numerical__age_squared,0.02431035711631133
numerical__age,0.02285257216847924
categorical__region_Europe,0.0030177933839776647
categorical__region_Latin America,0.002192134380729407
categorical__region_South Central,0.0007267817465452374
categorical__region_Australia,0.0006854107257045294
categorical__region_North Central,0.0006346620016195018
categorical__region_South East,0.0005287244369456558
categorical__region_Mid Atlantic,0.00047020622987845
categorical__region_South West,0.00044970550099480093
categorical__region_Africa,0.00042260495646426443
categorical__region_Central East,0.00037766807962129155
categorical__region_North East,0.00036692809709412433
categorical__region_Canada East,0.0002793609881345896
categorical__region_North West,0.00026208451293115143
categorical__region_Southern California,0.00025044422329348435
categorical__region_Northern California,0.0002466068530461339
categorical__region_Asia,0.00021722311810226444
categorical__region_Canada West,0.00019195096279249114
categorical__gender_--,0.0
